Timestamp,Raw_Value,Filtered_Value
02:12.2,1906,1818.86
02:12.3,1911,1828.07
02:12.4,1925,1837.76
02:12.5,1940,1847.99
02:12.6,1946,1857.79
02:12.7,1969,1868.91
02:12.8,1933,1875.32
02:12.9,1926,1880.39
02:13.0,1918,1884.15
02:13.1,1921,1887.83
02:13.2,1915,1890.55
02:13.3,1886,1890.09
02:13.4,1879,1888.99
02:13.5,1836,1883.69
02:13.6,1840,1879.32
02:13.7,1808,1872.19
02:13.8,1805,1865.47
02:13.9,1841,1863.02
02:14.0,1790,1855.72
02:14.1,1819,1852.05
02:14.2,1782,1845.04
02:14.3,1777,1838.24
02:14.4,1772,1831.61
02:14.5,1779,1826.35
